Segment Number,Scene Title ,Start Time (min),End Time (min),Start Time (s) , End Time (s) ,Scene Details - A Level ,Scene Details - B Level,Original B Levels (Janice) fixed,Space-In/Outdoor,Who-N/G/M,Name - All,Name - Focus,Name - Speaking,Space-In/Outdoor,Location,Camera Angle,Words on Screen ,Music Presence ,Temporal Relationship ,Type of Jump,Arousal,valence
545,,3:12,3:13,192,193,Sherlock smiles slightly in satisfaction. , ,,Indoor,M,Sherlock,Sherlock,,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,Yes,,,5,+
546,,3:13,3:14,193,194,"Lestrade breaks the silence and asks: ""Got anything?""",30. Anderson tries to intervene in Sherlock's investigation. Sherlock looks up UK weather on his phone. Sherlock asks John to give his thoughts of the case by examining the body. Sherlock convinces Lestrade to let John investigate. Lestrade leaves the room. , ,Indoor,G,Lestrade,Lestrade,Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,Yes,,,4,+
547,,3:14,3:17,194,197,"Sherlock removes his gloves and stands up and nonchalantly replies: ""Not much."" ",Segment 546-567,31. Results,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,Yes,,,4,+
548,,3:17,3:18,197,198,"Sherlock reaches into his coat pocket and gets his mobile phone. Someone's voice is heard saying: ""she is German.""", ,,Indoor,"M, G","Sherlock, John, Lestrade, Anderson",Anderson,Anderson,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,Yes,,,4,+
549,,3:18,3:23,198,203,"Anderson, from where he is casually leaning against the doorway continues: ""'Rache': It's German for 'revenge'. She could be trying to tell us something…"" While he is speaking, Sherlock has walked quickly towards the door and now begins to close it in Anderson's face. Sherlock is looking at something on his phone while walking. ", ,,Indoor,"M, G","Sherlock, John, Lestrade, Anderson","Sherlock, Anderson  ",Anderson,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,Yes,,,4,+
550,,3:23,3:25,203,205,"Sherlock, while not taking his eyes of his phone, says sarcastically: ""Yes, thank you for your input"" then slams the door shut. He turns and walks back into the room. ", ,,Indoor,"M, G","Sherlock, Anderson",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
551,,3:25,3:26,205,206,"John looks contemplative. In the background Lestrade asks: ""So she is german?""", ,,Indoor,"M, G","John, Lestrade",John,Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,No,,,4,+
552,,3:26,3:31,206,211,"Sherlock while speaking has called up a menu for UK weather on his phone. The menu offers five options: Maps, Local, Warnings, Next twenty four Hours, seven Day Forecast. He selects the Maps option. Sherlock, still looking at his phone, says: ""Of course she is not. she is from out of town, though. Intended to stay in London for one night...."" Sherlock smiles smugly when he apparently finds the information he needed from his phone. He continues: ""...before returning to Cardiff"" He then pockets his phone. ", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium","UK weather- Maps, Local, Warnings, Next 24 Hours, 7 Day Forecast",No,,,4,+
553,,3:31,3:33,211,213,"John is looking a little confused, lost in his thoughts, when Sherlock says: ""So far, so obvious."" ", ,,Indoor,M,"Sherlock, John",John,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,No,,,4,+
554,,3:33,3:34,213,214,"John incredulously asks: ""Sorry - obvious?""", ,,Indoor,M,John,John,,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,No,,,4,+
555,,3:34,3:35,214,215,"Lestrade asks: ""What about the message, though?""", ,,Indoor,G,Lestrade,Lestrade,Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
556,,3:35,3:36,215,216,"Sherlock ignores Lestrade, looks at John and asks: ""Doctor Watson, what do you think?""", ,,Indoor,M,"Sherlock, John",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
557,,3:36,3:38,216,218,"John looks round at Lestrade, then at Sherlock and asks: ""Of the message?""", ,,Indoor,M,John,John,John,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,No,,,4,+
558,,3:38,3:39,218,219,"Sherlock: ""Of the body. you are a medical man.""", ,32. Watson's opinion,Indoor,M,"Sherlock, John",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
559,,3:39,3:40,219,220,"Lestrade interjects: ""Wait, no, we have a whole team right outside.""", ,,Indoor,G,Lestrade,Lestrade,Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
560,,3:40,3:41,220,221,"Sherlock replies: ""They won't work with me.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
561,,3:41,3:42,221,222,Cut to John awkwardly staying silent during the conversation between Sherlock and Lestrade, ,,Indoor,M,John,John,,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,No,,,4,+
562,,3:42,3:43,222,223,"Lestrade says: ""I'm breaking every rule letting you in here.""", ,,Indoor,"M, G","Sherlock, Lestrade",Lestrade,Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
563,,3:43,3:45,223,225,"Sherlock states confidently: ""Yes…because you need me."" ", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
564,,3:45,3:46,225,226,John quickly turns round to Lestrade to see his reaction, ,,Indoor,M,John,John,,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,No,,,4,+
565,,3:46,3:50,226,230,"Lestrade stares at him for a moment with his mouth ready to defend himself, then he lowers his eyes helplessly and says: ""Yes, I do. God help me.""", ,,Indoor,"M, G","Sherlock, Lestrade",Lestrade,Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
566,,3:50,3:52,230,232,"Sherlock says: ""Doctor Watson.""", ,,Indoor,M,"Sherlock, John",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
567,,3:52,3:54,232,234,"John looks up from the body to Sherlock and says: ""Hm?"" Then he turns his head towards Lestrade, silently seeking his permission. ", ,,Indoor,M,John,John,,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,No,,,4,+
568,,3:54,3:58,234,238,"Lestrade, a little tetchily, says: ""Oh, do as he says. Help yourself"" He turns and opens the door, going outside. ","31. Sherlock asks for John's help to make a point. John examines the body as Lestrade and Sherlock watch. John determines that the most likely cause of death is asphyxiation, later knowing that Jennifer was the fourth victim of the serial suicides. ", ,Indoor,"M, G","Sherlock, Lestrade",Lestrade,Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
569,,3:58,4:02,238,242,"Lestrade says in the background: ""Anderson, keep everyone out for a couple of minutes"" as John and Sherlock approach the corpse on each of her sides and squat down. John painfully lowers himself to one knee on the other side, learning heavily on his cane to support himself. ",Segment 568-588,,Indoor,"M, G","Sherlock, John, Lestrade","Sherlock, John",Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,No,,,3,+
570,,4:02,4:04,242,244,"Sherlock looks toward John and asks: ""Well?""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,Yes,,,3,+
571,,4:04,4:05,244,245,"John asks softly: ""What am I doing here?""", ,,Indoor,M,John,John,John,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,Yes,,,3,+
572,,4:05,4:06,245,246,"Sherlock whispers: ""Helping me make a point.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,Yes,,,3,+
573,,4:06,4:08,246,248,"John softly replies: ""I'm supposed to be helping you pay the rent.""", ,,Indoor,M,John,John,John,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,Yes,,,3,+
574,,4:08,4:09,248,249,"Sherlock replies softly: ""Yeah well, this is more fun.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,Yes,,,3,+
575,,4:09,4:11,249,251,"John asks: ""Fun? There's a woman lying dead.""", ,,Indoor,M ,John,John,John,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,Yes,,,3,+
576,,4:11,4:15,251,255,"Sherlock admits: ""Perfectly sound analysis, but I was hoping you would go deeper.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,Yes,,,3,+
577,,4:15,4:18,255,258,Lestrade comes back into the room and stands just inside the doorway, ,,Indoor,"M, G","Sherlock, John, Lestrade","Sherlock, John, Lestrade",,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,Yes,,,3,+
578,,4:18,4:21,258,261,John drags his other leg down into a kneeling position and then leans forward to look more closely at the woman's body. Sherlock and Lestrade are watching., ,,Indoor,"M, G","Sherlock, John, Lestrade","Sherlock, John ",,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,Yes,,,3,+
579,,4:21,4:26,261,266,John puts his head close to the woman's and sniffs. He then straightens a little. , ,,Indoor,"M, G","John, Jennifer Wilson",John,,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,Yes,,,3,+
580,,4:26,4:28,266,268,Sherlock and Lestrade are paying close attention to John. , ,,Indoor,"M, G","Sherlock, Lestrade",Sherlock,,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,Yes,,,3,+
581,,4:28,4:31,268,271,John lifts her right hand and looks at her skin. , ,,Indoor,M,"John, Sherlock, Lestrade, Jennifer Wilson","John, Sherlock, Jennifer Wilson",,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,Yes,,,3,+
582,,4:31,4:32,271,272,Sherlock and Lestrade are keenly watching. , ,,Indoor,"M, G","Sherlock, Lestrade",Sherlock,,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,Yes,,,3,+
583,,4:32,4:33,272,273,John looks closely at the woman's skin on her right hand. , ,,Indoor,"M, G","John, Jennifer Wilson",John,,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,Yes,,,3,+
584,,4:33,4:37,273,277,"John says: ""Yup."" John kneels up and looks across to Sherlock. John continues: ""Asphyxiation, probably.""", ,,Indoor,M,John,John,,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,Yes,,,3,+
585,,4:37,4:39,277,279,"Sherlock looks round to Lestrade, while John says: "" Passed out, choked on her own vomit."" ", ,,Indoor,"M, G","Sherlock, Lestrade, John","Sherlock, Lestrade",John,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,Yes,,,3,+
586,,4:39,4:42,279,282,"John looks up at Sherlock and says: ""Can't smell any alcohol on her. It could have been a seizure; possibly drugs.""", ,,Indoor,M,John,John,John,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,Yes,,,3,+
587,,4:42,4:44,282,284,"Sherlock, looking at John, states: ""You know what it was, you have read the papers.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,Yes,,,3,+
588,,4:44,4:47,284,287,"John looks surprised and says: ""What, she is one of the suicides? The fourth…?""", ,,Indoor,M,John,John,John,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,Yes,,,3,+
589,,4:47,4:49,287,289,"Camera is fixed on Sherlock. Lestrade says: ""Sherlock - two minutes, I said. I need anything you have got.""",32. Sherlock reveals everything that he learned about the victim to Lestrade and John. Sherlock also states that Jennifer has travelled from Cardiff. John is genuinely impressed with Sherlock's ability to deduce. , ,Indoor,"M, G","Sherlock, Lestrade",Sherlock,Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,Yes,,,3,+
590,,4:49,4:55,289,295,"Sherlock stands up, while John is struggling to get on his feet, and says: ""Victim is in her late thirties. Professional person, going by her clothes. I'm guessing something in the media, going by the…""",Segment 589-616,33. SH Conclusion,Indoor,M,"Sherlock, John",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
591,,4:55,4:56,295,296,"Cut to a view of the woman dressed in pink on the floor. Sherlock (in the background): ""…frankly alarming shade of pink."" ", ,,Indoor,"M, G","Sherlock, Jennifer Wilson",Jennifer Wilson,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
592,,4:56,4:58,296,298,"Sherlock continues in the background as John looks at the body, then at Sherlock walking across the room saying: ""Travelled from Cardiff today, intending to stay in London for one night.""", ,,Indoor,M,"Sherlock, John",John,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
593,,4:58,5:01,298,301,"Sherlock walks past Lestrade and says: ""It's obvious from the size of her suitcase."" Sherlock looks around the room. ", ,,Indoor,"M, G","Sherlock, Lestrade",Lestrade,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
594,,5:01,5:07,301,307,"Lestrade: ""Suitcase?"" Sherlock continues to look around the room and says: ""Suitcase, yes. she is been married at least ten years, but not happily. she is had a string of lovers, but none of them knew she was married.""", ,,Indoor,"M, G","Sherlock, Lestrade",Sherlock,"Lestrade, Sherlock",Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
595,,5:07,5:09,307,309,"Lestrade has his arms crossed: "" Oh, for God's sake, if you are just making this up…""", ,,Indoor,"M,G","Sherlock, Lestrade",Lestrade,Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
596,,5:09,5:15,309,315,"Sherlock points down to her left hand and bends down near her explaining: ""Her wedding ring. Ten years old at least. The rest of her jewellery has been regularly cleaned, but not her wedding ring…"" ", ,,Indoor,"M, G","Sherlock, John, Lestrade","Sherlock, John, Lestrade",Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
597,,5:15,5:17,315,317,"Lestrade looks shocked as Sherlock continues in the background: ""State of her marriage right there…""", ,,Indoor,"M, G","Sherlock, Lestrade",Lestrade,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
598,,5:17,5:22,317,322,"Sherlock is squatting down beneath the woman's body and he continues to explain: ""The inside of the ring is shinier than the outside - that means it's regularly removed. The only polishing it gets is when she works it off her finger.""", ,,Indoor,M,"Sherlock, John",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
599,,5:22,5:24,322,324,"Sherlock: ""It's not for work; look at her nails."" Sherlock looks down. ", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,No,,,4,+
600,,5:24,5:25,324,325,"A view of Jennifer Wilson's hand with pink nail polish. Sherlock continues: ""She doesn't work with her hands."" ", ,,Indoor,"M, G","Sherlock, Jennifer Wilson",Jennifer Wilson,Sherlok,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
601,,5:25,5:27,325,327,"John looks at Sherlock in shock as Sherlock gets up and continues: ""…so what or rather whom does she remove her rings for?""", ,,Indoor,M,"Sherlock, John",John,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
602,,5:27,5:32,327,332,"Sherlock: ""Clearly not one lover; she'd never sustain the fiction of being single over that amount of time, so more likely a string of them. Simple.""", ,,Indoor,M,"Sherlock, John",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
603,,5:32,5:33,332,333,"John admiringly says to Sherlock: ""That's brilliant.""", ,,Indoor,M,John,John,John,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
604,,5:33,5:34,333,334,"Sherlock looks round at him and John immediately says: ""Sorry."" ", ,,Indoor,M,"Sherlock, John","Sherlock, John",John,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
605,,5:34,5:35,334,335,"Lestrade asks: ""Cardiff?""", ,,Indoor,"M, G","Sherlock, John, Lestrade","Sherlock, John, Lestrade",Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
606,,5:35,5:37,335,337,"Sherlock says: ""It's obvious, isn't it?""", ,,Indoor,"M, G","Sherlock, John, Lestrade","Sherlock, John, Lestrade",Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
607,,5:37,5:39,337,339,"John: ""It's not obvious to me."" and stares at Sherlock. ", ,,Indoor,M,John,John,John,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
608,,5:39,5:43,339,343,"Sherlock pauses as he looks at the other two men and says seriously: ""Dear God, what is it like in your funny little brains? It must be so boring.""", ,,Indoor,"M, G","Sherlock, Lestrade",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
609,,5:43,5:49,343,349,"Sherlock turns back to the body and explains in a lively manner: ""Her coat: it's slightly damp. she is been in heavy rain in the last few hours. No rain anywhere in London in that time.""", ,,Indoor,"M, G","Sherlock, Lestrade","Sherlock, Lestrade ",Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
610,,5:49,6:04,349,364,"Sherlock continues, looking at Lestrade: ""Under her coat collar is damp, too. she is turned it up against the wind. she is got an umbrella in her left-hand pocket but it's dry and unused: not just wind, strong wind - too strong to use her umbrella. We know from her suitcase that she was intending to stay overnight, so she must have come a decent distance but she can't have travelled more than two or three hours because her coat still has not dried.""", ,,Indoor,"M, G","Sherlock, Lestrade",Sherlock ,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
611,,6:04,6:08,364,368,"Sherlock reaches into his coat pocket and continues : ""…So, where has there been heavy rain and strong wind within the radius of that travel time?"" ", ,,Indoor,"M, G","Sherlock, John, Lestrade","Sherlock, John, Lestrade",Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
612,,6:08,6:10,368,370,"Sherlock shows the other two the webpage he was looking at earlier, displaying the day's weather for the Southern part of Britain. Sherlock states: ""Cardiff.""", ,,Indoor,"M, G","Sherlock, Lestrade ",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
613,,6:10,6:11,370,371,"John exclaims: ""That's fantastic!""", ,,Indoor,M,"Sherlock, John",John,John,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
614,,6:11,6:12,371,372,"Sherlock turns round to John and speaks in a low voice: ""Do you know you do that out loud?""", ,,Indoor,M,"Sherlock, John",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,3,+
615,,6:12,6:13,372,373,"John apologetically says: ""Sorry, I'll shut up."" ", ,,Indoor,M,"Sherlock, John",John,John,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,3,+
616,,6:13,6:15,373,375,"Sherlock replies in a low voice: ""No it's….fine""", ,,Indoor,M,"Sherlock, John",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,3,+
617,,6:15,6:16,375,376,"Lestrade asks at the back: ""Why do you keep saying suitcase?""","33. Sherlock continues to explain his deductions, saying that the victim was writing ""Rachel."" Sherlock asks where Jennifer's suitcase is and explains how he knows she has one. To Sherlock's surprise, Lestrade states that there was no suitcase. Sherlock goes out of the room yelling if anyone has found a suitcase. ", ,Indoor,M,Lestrade,Lestrade,Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
618,,6:16,6:22,376,382,"Sherlock spins around in a circle to look around the room. Sherlock: ""Yes, where is it? She must have had a phone or an organiser. Find out who Rachel is.""",Segment 617-633,,Indoor,"M, G","Sherlock, John, Lestrade ","Sherlock, John, Lestrade",Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
619,,6:22,6:23,382,383,"Lestrade asks: ""She was writing 'Rachel'?""", ,,Indoor,"M, G","Sherlock, John, Lestrade","Sherlock, Lestrade",Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
620,,6:23,6:25,383,385,"Sherlock sarcastically says to Lestrade: ""No, she was leaving an angry note in German!""", ,,Indoor,"M, G","Sherlock, Lestrade","Sherlock, Lestrade",Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
621,,6:25,6:26,385,387,"Sherlock: ""Of course she was writing Rachel"" John looks stunned at Sherlock's deduction.", ,,Indoor,M,"Sherlock, John",John,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
622,,6:27,6:30,387,390,"Sherlock goes back near the body and looks down at it as he says: ""...no other word it can be. Question is: why did she wait until she was dying to write it?""", ,,Indoor,"M, G","Sherlock, Lestrade",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
623,,6:30,6:31,390,391,"Lestrade asks: ""How did you know she had a suitcase?"" There is a policeman outside of the room. ", ,,Indoor,"M, G","Lestrade, Policeman",Lestrade,Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
624,,6:31,6:35,391,395,"Sherlock points down to the body, where her tights have small black splotches on the lower part of her right leg. He explains: ""Back of the right leg: tiny splash marks on the hell and calf, not present on the left…""", ,,Indoor,"M, G","Sherlock, Lestrade",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
625,,6:35,6:37,395,397,"Close up to the victim's legs where Sherlock was pointing to earlier. Sherlock continues in the background: ""She was dragging a wheeled suitcase behind her with her right hand.."" Mud marks are seen on her right leg.", ,,Indoor,"M, G","Sherlock, Jennifer Wilson",Jennifer Wilson,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Close Up,,No,,,4,+
626,,6:37,6:39,397,399,"Sherlock points as he explains: ""Don't get that splash pattern any other way."" John and Lestrade are watching intently. ", ,,Indoor,"M, G","Sherlock, John, Lestrade","Sherlock, John, Lestrade",Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,No,,,4,+
627,,6:39,6:41,399,401,"Sherlock looks toward Lestrade: ""Smallish case, going by the spread.""", ,,Indoor,"M, G","Sherlock, Lestrade",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Over the Shoulder, Medium",,No,,,4,+
628,,6:41,6:46,401,406,"Sherlock: ""Case that size, woman this clothes-conscious: could only be an overnight bag, so we know she was staying one night."" Lestrade and John keep silent, standing up with their arms crossed while thinking. ", ,,Indoor,"M, G","Sherlock, John, Lestrade","Sherlock, John, Lestrade",Sherlock ,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
629,,6:46,6:47,406,407,"Sherlock squats down by the woman's body and examines the back of her legs more closely. Sherlock asks: ""Now, where is it? What have you done with it?""", ,,Indoor,"M, G","Sherlock, John, Lestrade",Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,No,,,4,+
630,,6:47,6:49,407,409,"Lestrade shakes his head and says: ""There wasn't a case."" John looks at him, surprised. ", ,,Indoor,"M, G","John, Lestrade","John, Lestrade",Lestrade,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Two Shot, Medium",,No,,,4,+
631,,6:49,6:53,409,413,"Slowly Sherlock raises his head and frowns up at Lestrade. He says: ""Say that again.""", ,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,Medium,,Yes,,,4,+
632,,6:53,6:55,413,415,"Lestrade says: ""There wasn't a case. There was never any suitcase."" Sherlock registers this fact. ", ,34. where is the suitcase?,Indoor,"M, G","Sherlock, John, Lestrade","Lestrade, John",Lestrade ,Indoor,Lauriston Gardens - Crime Scene Room on Third Floor ,"Low Angle, Medium",,Yes,,,4,+
633,,6:55,7:00,415,420,"Immediately Sherlock straightens up and heads for the door, calling out to all police officers in the house as he begins to hurry down the stairs. Sherlock: ""Suitcase! Did anyone find a suitcase? Was there a suitcase in this house?"" He passes by Lestrade, John as well as a policeman guarding the door. ", ,,Indoor,"M, G","Sherlock, John, Lestrade, Policeman ",Sherlock,Sherlock,Indoor,Lauriston Gardens - Stairway,"Tracking, Medium",,Yes,,,5,+
634,,7:00,7:01,420,421,"Lestrade comes out of the room, passes the police standing guard, and calls down the stairs: ""Sherlock, there was no case!""","34. Sherlock becomes very excitedly explains as he is going down the stairs that there has to be a case. He says that there is a serial killer involved in the case and that the serial killer has finally made a mistake. Sherlock states that the mistake is ""PINK"". Sherlock leaves the building. Lestrade and John are both confused as to what Sherlock is referring. ", ,Indoor,G,"Lestrade, Policeman",Lestrade,Lestrade,Indoor,Lauriston Gardens - Stairway,Medium,,Yes,,,5,+
635,,7:01,7:06,421,426,"Sherlock, slowing down, but still making his way down the stairs, says: ""But they take the poison themselves; they chew, swallow the pills themselves. There are clear signs. Even you lot could not miss them""",Segment 634-652,,Indoor,M,Sherlock,Sherlock,Sherlock,Indoor,Lauriston Gardens - Stairway,"Top, Medium",,Yes,,,5,+
636,,7:06,7:08,426,428,"Lestrade: ""Right, yeah, thanks!"" He calls out loudly down the stairs: ""AND…?"" John stays silent beside Lestrade. The two stay upstairs. ", ,,Indoor,"M, G","John, Lestrade, Policeman","Lestrade, John",Lestrade ,Indoor,Lauriston Gardens - Stairway,Medium,,Yes,,,5,+
637,,7:08,7:12,428,432,"Sherlock reaches a floor where Anderson and two other people dressed in coveralls as well as another policeman are patiently waiting. Sherlock calls up the stairs to answer Lestrade: ""It's murder, all of them. I don't know how, but they are not suicides, they are killings...""", ,,Indoor,"M, G","Sherlock, Anderson, 2 People in Coveralls, Policeman",Sherlock,Sherlock,Indoor,Lauriston Gardens - Stairway,"Top, Medium",,Yes,,,5,+
638,,7:12,7:13,432,433,"View of Lestrade and John looking down at the stair railings. Sherlock continues: ""…serial killings.""", ,,Indoor,"M, G","Sherlock, John, Lestrade","John, Lestrade",Sherlock,Indoor,Lauriston Gardens - Stairway,"Low Angle, Medium",,Yes,,,5,+
